Magnitude,Agency,Latitude,Longitude,Depth,Felt,Region
3.66,PRSN,18.1948,-67.8873,123,No,MONA PASSAGE
3.83,PRSN,18.1026,-68.7711,156,No,EASTERN DOMINICAN REPUBLIC
3.47,PRSN,18.9903,-64.9226,26,No,SOMBRERO SEISMIC ZONE
3.61,PRSN,17.9721,-68.7251,101,No,EASTERN DOMINICAN REPUBLIC
3.68,PRSN,18.7591,-68.6516,144,No,EASTERN DOMINICAN REPUBLIC
3.58,PRSN,19.2351,-64.813,28,No,SOMBRERO SEISMIC ZONE
3.9,PRSN,18.105,-67.1165,9,Yes,WEST REGION OF PUERTO RICO
3.46,PRSN,18.1433,-65.122,126,No,EASTERN PUERTO RICO
3.56,PRSN,19.2326,-64.529,29,No,SOMBRERO SEISMIC ZONE
3.64,PRSN,19.3215,-64.3586,33,No,SOMBRERO SEISMIC ZONE
3.53,PRSN,19.1581,-67.4971,88,No,MONA CANYON
3.95,PRSN,19.2878,-67.4795,61,No,MONA CANYON
3.74,PRSN,18.3285,-68.6818,142,No,EASTERN DOMINICAN REPUBLIC
3.52,PRSN,19.3815,-66.3425,75,No,19° N FAULT ZONE
3.62,PRSN,18.9056,-64.455,44,No,VIRGIN ISLANDS PLATFORM
3.89,PRSN,18.8075,-64.1518,42,No,VIRGIN ISLANDS PLATFORM
3.91,PRSN,18.6488,-68.9296,113,No,EASTERN DOMINICAN REPUBLIC
3.82,PRSN,18.948,-67.7033,23,Yes,SEPTENTRIONAL FAULT ZONE
3.58,PRSN,19.429,-64.8248,40,No,PUERTO RICO TRENCH
6.1,PRSN,35.741,-3.597,10,No,STRAIT OF GIBRALTAR
3.75,PRSN,19.2738,-64.731,51,No,SOMBRERO SEISMIC ZONE
3.57,PRSN,19.2076,-68.2653,24,No,SEPTENTRIONAL FAULT ZONE
3.61,PRSN,17.958,-68.3443,62,No,EASTERN DOMINICAN REPUBLIC
3.73,PRSN,19.6891,-64.8853,119,No,PUERTO RICO TRENCH
3.72,PRSN,18.997,-68.9061,112,No,SEPTENTRIONAL FAULT ZONE
3.59,PRSN,18.1625,-68.8766,150,No,EASTERN DOMINICAN REPUBLIC
4,PRSN,19.5896,-64.412,24,No,PUERTO RICO TRENCH
3.54,PRSN,17.7631,-68.8298,80,No,EASTERN DOMINICAN REPUBLIC
3.54,PRSN,18.9918,-65.408,97,No,SOMBRERO SEISMIC ZONE
3.53,PRSN,18.8723,-64.6201,78,No,VIRGIN ISLANDS PLATFORM
3.78,PRSN,18.3258,-68.973,111,No,EASTERN DOMINICAN REPUBLIC
3.68,PRSN,19.5876,-68.5146,35,No,PUERTO RICO TRENCH
3.52,PRSN,18.9536,-64.5541,74,No,VIRGIN ISLANDS PLATFORM
3.68,PRSN,19.1318,-64.732,19,No,SOMBRERO SEISMIC ZONE
3.68,PRSN,19.7,-68.1676,74,No,PUERTO RICO TRENCH
2.9,PRSN,17.9121,-66.7715,5,Yes,SOUTHERN PUERTO RICO
3.46,PRSN,18.2663,-68.6453,144,No,EASTERN DOMINICAN REPUBLIC
3.66,PRSN,19.063,-68.888,142,No,SEPTENTRIONAL FAULT ZONE
3.4,PRSN,18.1471,-67.4256,6,Yes,MONA PASSAGE
3.02,PRSN,17.972,-66.4261,7,Yes,SOUTH REGION OF PUERTO RICO
3.47,PRSN,18.9891,-67.6873,12,No,SEPTENTRIONAL FAULT ZONE
3.69,PRSN,18.5655,-68.0491,90,No,EASTERN DOMINICAN REPUBLIC
3.81,PRSN,19.6041,-66.038,97,No,PUERTO RICO TRENCH
3.7,PRSN,19.7446,-67.6136,38,No,PUERTO RICO TRENCH
3.45,PRSN,18.9898,-67.6778,55,No,SEPTENTRIONAL FAULT ZONE
3.47,PRSN,19.5513,-65.3841,94,No,PUERTO RICO TRENCH
3.87,PRSN,19.608,-65.4333,72,No,PUERTO RICO TRENCH
3.54,PRSN,19.6308,-65.3831,59,No,PUERTO RICO TRENCH
3.69,PRSN,19.4808,-65.4393,91,No,19° N FAULT ZONE
4,PRSN,19.6661,-65.4815,34,No,PUERTO RICO TRENCH
